Study,Study type,Author position,Demographic,Country,Continent,Language,Percent_English,HDI,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal.impact.factor,Stage,Notes
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Norway,Europe,Not_English,0.852428349,0.95,201,25,88.9380531,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Oman,Asia,Not_English,0.003708591,0.815,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Pakistan,Asia,English,0.44546474,0.542,37,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Panama,Latin America,Not_English,0.088595977,0.724,3,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Panama,Latin America,Not_English,0.088595977,0.805,2,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Papua New Guinea,Oceania,English,0.114609139,0.549,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Peru,Latin America,Not_English,0.000473132,0.765,3,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Philippines,Asia,English,0.477767088,0.704,3,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Poland,Europe,Not_English,0.35,0.774,9,2,81.81818182,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Poland,Europe,Not_English,0.35,0.869,195,6,97.01492537,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Portugal,Europe,Not_English,0.281466799,0.855,145,9,94.15584416,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Portugal,Europe,Not_English,0.281466799,0.787,2,3,40,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Qatar,Asia,Not_English,0.017183719,0.845,10,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Romania,Europe,Not_English,0.317647059,0.82,13,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Romania,Europe,Not_English,0.317647059,0.705,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Country,Russian Federation,Asia,Not_English,0.053432135,0.705,5,1,83.33333333,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Russian Federation,Asia,Not_English,0.053432135,0.815,208,4,98.11320755,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Saudi Arabia,Asia,Not_English,0.002955507,0.859,107,6,94.69026549,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Serbia,Europe,Not_English,0.000598959,0.795,8,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Singapore,Asia,English,0.483,0.935,676,59,91.97278912,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Singapore,Asia,English,0.483,0.799,2,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Country,Slovakia,Europe,Not_English,0.264,0.764,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Slovakia,Europe,Not_English,0.264,0.853,13,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Slovenia,Europe,Not_English,0.588987217,0.813,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Slovenia,Europe,Not_English,0.588987217,0.9,40,6,86.95652174,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,South Africa,Africa,English,0.347834607,0.703,64,5,92.75362319,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,South Africa,Africa,English,0.347834607,0.64,20,7,74.07407407,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,South Korea,Asia,Not_English,0.09917988,0.91,1947,103,94.97560976,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,South Korea,Asia,Not_English,0.09917988,0.802,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Ehara and Takahashi (2007),Observational,Corresponding,Country,South Korea,Asia,Not_English,0.09917988,0.853,159,298,34.79212254,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Ehara and Takahashi (2007),Observational,Corresponding,Country,Spain,Europe,Not_English,0.221115538,0.844,32,58,35.55555556,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Spain,Europe,Not_English,0.221115538,0.899,1067,95,91.82444062,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Primack and Zipf (2016),Observational,Corresponding,Country,Spain,Europe,Not_English,0.221115538,0.865,659,149,81.55940594,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
Tregenza (2002),Observational,First,Country,Spain,Europe,Not_English,0.221115538,0.821,84,30,73.68421053,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Sri Lanka,Asia,English,0.238,0.773,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Swaziland (Eswatini),Africa,English,0.061064701,0.588,2,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Sweden,Europe,Not_English,0.877952756,0.94,827,71,92.0935412,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Sweden,Europe,Not_English,0.877952756,0.894,109,74,59.56284153,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Switzerland,Europe,Not_English,0.5631846,0.947,1119,191,85.41984733,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Ehara and Takahashi (2007),Observational,Corresponding,Country,Switzerland,Europe,Not_English,0.5631846,0.909,28,82,25.45454545,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Tregenza (2002),Observational,First,Country,Switzerland,Europe,Not_English,0.5631846,0.882,37,33,52.85714286,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Country,Thailand,Asia,Not_English,0.274350729,0.633,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Thailand,Asia,Not_English,0.274350729,0.756,21,1,95.45454545,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Trinidad and Tobago,North America,English,1,0.792,2,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Tunisia,Africa,Not_English,0.146870916,0.632,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Tunisia,Africa,Not_English,0.146870916,0.731,3,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Turkey,Asia,Not_English,0.000573048,0.64,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Ehara and Takahashi (2007),Observational,Corresponding,Country,Turkey,Asia,Not_English,0.000573048,0.69,109,80,57.67195767,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Turkey,Asia,Not_English,0.000573048,0.808,66,3,95.65217391,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Uganda,Africa,English,0.670569043,0.373,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Ukraine,Europe,Not_English,0.06830144,0.768,18,2,90,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Ukraine,Europe,Not_English,0.06830144,0.688,0,1,0,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Tregenza (2002),Observational,First,Country,United Arab Emirates,Asia,Not_English,0.708450881,0.769,0,1,0,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,United Arab Emirates,Asia,Not_English,0.708450881,0.864,23,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Ehara and Takahashi (2007),Observational,Corresponding,Country,United Kingdom,Europe,English,1,0.892,56,118,32.18390805,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Tregenza (2002),Observational,First,Country,United Kingdom,Europe,English,1,0.862,305,253,54.65949821,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Primack and Zipf (2016),Observational,Corresponding,Country,United Kingdom,Europe,English,1,0.906,704,381,64.88479263,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,United Kingdom,Europe,English,1,0.924,4101,627,86.73857868,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
O'Connor et al. (2017),Observational,Corresponding,Country,United States,North America,English,0.919915903,0.921,226,135,62.60387812,2015,Health sciences,Health sciences,3.124,Overall decision,"The entire journal is double-blind. They also surveyed reviewers to see how often they could correctly identify authors, which occurred in 12.9% of articles. "
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,United States,North America,English,0.919915903,0.922,18613,2465,88.30534206,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Ehara and Takahashi (2007),Observational,Corresponding,Country,United States,North America,English,0.919915903,0.897,621,1631,27.57548845,2004,Health sciences,Health sciences,2.384,Overall decision,"The ""accepted"" category is likely inflated because the authors used the total number of manuscripts rejected in a 2-year period for ""rejected"" but included ones still pending a decision as ""not rejected."" Mostly would reflect ""overall decision"""
Tregenza (2002),Observational,First,Country,United States,North America,English,0.919915903,0.889,272,172,61.26126126,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
Primack and Zipf (2016),Observational,Corresponding,Country,United States,North America,English,0.919915903,0.912,1968,879,69.12539515,2009.5,Life sciences,Ecology & Evolution,3.333,Overall decision,We emailed the author to confirm if they used corresponding author because it was not indicated in the article. They were not completely sure but thought it was corresponding because their other articles used corresponding. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Uruguay,Latin America,Not_English,0.245601243,0.81,4,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Uruguay,Latin America,Not_English,0.245601243,0.737,1,0,100,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Uzbekistan,Asia,Not_English,0,0.705,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
Tregenza (2002),Observational,First,Country,Venezuela,Latin America,Not_English,0.001026371,0.672,1,1,50,1998.5,Life sciences,Ecology & Evolution,2.5839,Overall decision,
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Venezuela,Latin America,Not_English,0.001026371,0.759,1,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
McGillivray and De Ranieri (2018),Observational,Corresponding,Country,Viet Nam,Asia,Not_English,0,0.693,4,0,100,2016,Broad,Broad,20.37376471,Overall decision,This is from the subset of Nature portfolio journals that the author sent me. This is single-blind articles only. 
