Journal,language requirements,language requirements notes,language requirements binned,editing services,author guidelines suggest peer review,Authors are recommended in guidelines to suggest reviewers from diverse backgrounds (select no if there are no guidelines),authors suggest diverse reviews binned,guidelines multiple countries,guidelines multiple institutions,guidelines ecr,guidelines gender,guidelines another demographic enthnicity or race,guidelines another demographic other,guidelines to be reviewer,guidelines link publisher,guidelines reviewer specific journal,guidelines social justice,guidelines esl,blind format,journal publish peer reviews,continent,eic_01,eic_02,eic_03,eic_04,eic_05,eic_06,eic_07,eic_08,eic_09,JCR 2020 IF,JIF_bin,JCR 2020 IF sans self citations ,JCR 2020 JCI,Language in JCR,Country based in on JCR,Publisher on JCR,Publisher from JCR but binned by larger company,Publisher major minor,society,Society listed,Society_publisher,First year in JCR,Website URL,Secondary website domain,Notes,Overall Tier Score,Notes on tier scoring,Source
AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""The clarity of writing in English must meet international publication standards. Authors whose native language is not English should consult someone with English as a first language before submitting their manuscript. Clear meaning will improve the speed and effectiveness of review and ensure that the content of the paper is assessed fairly""",5,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Unclear,Canada,,,,,,,,,1.047,Low,0.965,0.3,English,United States,MICHIGAN STATE UNIV PRESS,MICHIGAN STATE UNIV PRESS,Minor,Aquatic Ecosystem Health and Management Society,Society,Minor_Society,2007,https://aehms.org/publications/journal/,https://ojs.msupress.msu.edu/index.php/AEHM/about/submissions,,Tier 1,,JCR
Aquatic Invasions,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""All manuscripts must be in English, preferably checked by a native English-speaking colleague, before submission. The latter will greatly improve both the legibility and scientific quality of your paper for acceptance by the journal if English is not your first language. You may also consider utilising the services of Bioedit English Language Editing, Editage, Enago, or Textcheck.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Europe,Italy,,,,,,,,,2.17,Low,2.045,0.71,English,FINLAND,REGIONAL EURO-ASIAN BIOLOGICAL INVASIONS CENTRE-REABIC,REGIONAL EURO-ASIAN BIOLOGICAL INVASIONS CENTRE-REABIC,Minor,International Association for Open Knowledge on Invasive Alien Species,Society,Minor_Society,2012,https://www.reabic.net/journals/ai/Default.aspx,,,Tier 1,,JCR
AQUATIC LIVING RESOURCES,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,France,France,France,France,,,,,,1.885,Low,1.803,0.48,English,FRANCE,EDP SCIENCES S A,EDP SCIENCES S A,Minor,NA,Not_society,Minor_Not_society,1997,https://www.alr-journal.org/author-information/instructions-for-authors,,"Very little information for this journal available. There are 4 Editors-in-Chief, all from France. ",Tier 1,,JCR
Aquatic Microbial Ecology,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Manuscripts that do not use correct English grammar, spelling and punctuation will be returned to authors without review; if you are not a native English speaker, you should have the text edited by someone who is, before submitting your manuscript.""",6,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,Canada,France,,,,,,,,1.759,Low,1.747,0.6,English,Germany,INTER-RESEARCH,INTER-RESEARCH,Minor,NA,Not_society,Minor_Not_society,1997,https://www.int-res.com/journals/ame/ame-home/,,"Author guidelines are through publisher, not journal",Tier 1,"Covers ""research on viruses, prokaryotes and eukaryotes""","Original list (publisher, personal knowledge)"
AQUATIC SCIENCES,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Europe,Switzerland,,,,,,,,,2.744,Low,2.615,0.84,English,SWITZERLAND,SPRINGER BASEL AG,SPRINGER,Major,NA,Not_society,Major_Not_society,1997,https://www.springer.com/journal/27,,"The journal says it is international. I used Europe because that is where it says Springer Nature is. They didn't have a reviewer guidelines tab on the website, even linking to the publisher",Tier 1,,JCR
Aquatic Sciences and Engineering,Journal offers FREE English language editing services (most progressive policies),"""Accepted manuscripts are copy-edited for grammar, punctuation, and format.""",3,Free editing services,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Double_required,No,Asia,Turkey,Turkey,,,,,,,,NA,NA,NA,0.19,Multi-Language,TURKEY,"ISTANBUL UNIV PRESS, FAC AQUATIC SCIENCES","ISTANBUL UNIV PRESS, FAC AQUATIC SCIENCES",Minor,NA,Not_society,Minor_Not_society,2020,https://dergipark.org.tr/en/pub/ase,,"Based in Turkey; published by Istanbul University. The reviewer guidelines are short and don't mention that much beyond basic ethics but do mention a few things like checking that authors have cited all relevant work. First in JCR for 2020 so lacks impact factor.""Our journal was published from 1987-2015 as “Journal of Fisheries & Aquatic Sciences of Istanbul University” and 2016-2017 ""Turkish Journal of Aquatic Sciences (TJAS)"".  The name was changed “AQUATIC SCIENCES and ENGINEERING"" in 2018.""",Tier 1,,JCR
ARCTIC,No mention of language editing in author guidelines or doesn't have author guidelines,"For peer reviewed articles, they only mention that you can use American or British English (need to be consistent) and recommend having an English, French, and Russian language abstract. They also publish reviews of books and mention that they will edit reviews as needed, ""reviews are subject to editing, and any substantive changes will be checked with the author before typesetting""",1,Free editing services,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Northern America,Canada,,,,,,,,,1.783,Low,1.667,0.39,Multi-Language,CANADA,ARCTIC INST N AMER,ARCTIC INST N AMER,Minor,NA,Not_society,Minor_Not_society,1997,https://www.arcticjournal.org/,https://arctic.ucalgary.ca/about-arctic-journal,Published by the University of Calgary; seem to have a third website: https://journalhosting.ucalgary.ca/index.php/arctic/index,Tier 3,,JCR
ARCTIC ANTARCTIC AND ALPINE RESEARCH,Offers editing but doesn't strongly suggest or recommend that people use it,"""To help you improve your manuscript and prepare it for submission, Taylor & Francis provides a range of editing services.""",4,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Single,No,Northern America,United States,United States,United States,,,,,,,2.5,Low,2.424,0.53,English,United States,TAYLOR & FRANCIS LTD,TAYLOR AND FRANCIS,Major,NA,Not_society,Major_Not_society,1999,https://www.tandfonline.com/journals/uaar20,,"There are three co-Editors, all from the United States. They don't list an Editor-in-Chief but have Associate Editors next in the list. ",Tier 1,,JCR
Arctic Science,"Journal publishes articles in more than one language (e.g., Spanish and English)",also publishes in French,2,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Single,No,Northern America,Canada,Canada,,,,,,,,2.5,Low,2.29,0.52,English,CANADA,CANADIAN SCIENCE PUBLISHING,CANADIAN SCIENCE PUBLISHING,Minor,NA,Not_society,Minor_Not_society,2019,https://cdnsciencepub.com/journal/as,,Publisher reviewer guidelines state reviewers should not comment on language,Tier 3,,JCR
Austral Ecology,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Before you submit, please make sure that your paper has been edited by a competent English speaker that has a good grasp of scientific English and its nuances. Papers with poor grammar are more likely to be rejected – so to reduce the burden on our reviewers. This enables reviewers to focus on the research primarily presented and not be detracted into fixing grammar and style issues. If you are worried about this, please contact the Editor-in-Chief before submission.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Oceania,Australia,,,,,,,,,2.087,Low,1.845,0.54,English,AUSTRALIA,WILEY,WILEY,Major,Ecological Society of Australia,Society,Major_Society,2000,https://onlinelibrary.wiley.com/journal/14429993,,"No SJ policy language in author or referee guidelines but DEI section in ethics guidelines of publisher site. There is a ""Deputy Editor-in-Chief"" from Brazil. ",Tier 1,,"Original list (publisher, personal knowledge)"
AUSTRALIAN JOURNAL OF BOTANY,No mention of language editing in author guidelines or doesn't have author guidelines,"""The works should be presented concisely and clearly in English.""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Oceania,Australia,,,,,,,,,1.237,Low,1.093,0.41,English,AUSTRALIA,CSIRO PUBLISHING,CSIRO PUBLISHING,Minor,NA,Not_society,Minor_Not_society,1997,https://www.publish.csiro.au/bt,,The Csiro Publishing journals all have an inclusive language section,Tier 1,,JCR
AUSTRALIAN JOURNAL OF ZOOLOGY,No mention of language editing in author guidelines or doesn't have author guidelines,"""The works should be presented concisely and clearly in English.""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Oceania,Australia,,,,,,,,,0.663,Low,0.663,0.38,English,AUSTRALIA,CSIRO PUBLISHING,CSIRO PUBLISHING,Minor,NA,Not_society,Minor_Not_society,1997,https://www.publish.csiro.au/zo,,The Csiro Publishing journals all have an inclusive language section,Tier 1,,JCR
AUSTRALIAN SYSTEMATIC BOTANY,No mention of language editing in author guidelines or doesn't have author guidelines,"""The work should be presented concisely and clearly in English.""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Oceania,Australia,,,,,,,,,1.108,Low,1.046,0.41,English,AUSTRALIA,CSIRO PUBLISHING,CSIRO PUBLISHING,Minor,NA,Not_society,Minor_Not_society,1997,https://www.publish.csiro.au/sb/EditorialStructure,,The Csiro Publishing journals all have an inclusive language section,Tier 1,,JCR
Basic and Applied Ecology,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English. Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's WebShop https://webshop.elsevier.com/language-editing-services/language-editing/ or visit our customer support site https://service.elsevier.com for more information.""",5,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Europe,Germany,,,,,,,,,3.414,Mid,3.359,0.89,English,Germany,ELSEVIER GMBH,ELSEVIER,Major,"Ecological Society of Germany, Austria, and Switzerland",Society,Major_Society,2003,https://www.journals.elsevier.com/basic-and-applied-ecology,,,Tier 1,,"Original list (publisher, personal knowledge)"
Behavior Genetics,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Northern America,United States,,,,,,,,,2.805,Low,2.532,0.81,English,United States,SPRINGER,SPRINGER,Major,Behavior Genetics Association,Society,Major_Society,1997,https://www.springer.com/journal/10519,,Referee suggestions not required but suggested that any referees given should come from different countries and institutions,Tier 1,,"Original list (publisher, personal knowledge)"
Behavioral Ecology,No mention of language editing in author guidelines or doesn't have author guidelines,"""Manuscripts must be in English""",1,Journal doesn't mention language editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Unclear,Australia,,,,,,,,,2.671,Low,2.437,1.03,English,United States,OXFORD UNIV PRESS INC,OXFORD UNIVERSITY PRESS,Major,International Society for Behavioral Ecology,Society,Major_Society,1997,https://academic.oup.com/beheco,,,Tier 1,,"Original list (publisher, personal knowledge)"
Behavioral Ecology and Sociobiology,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Europe,Germany,United States,,,,,,,,2.98,Low,2.797,0.99,English,Germany,SPRINGER,SPRINGER,Major,NA,Not_society,Major_Not_society,1997,https://www.springer.com/journal/265,,,Tier 1,,"Original list (publisher, personal knowledge)"
BELGIAN JOURNAL OF ZOOLOGY,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""All papers have to be in clear, concise English. Manuscripts with insufficient English will be returned to the authors immediately.""",6,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,Belgium,,,,,,,,,1.474,Low,1.474,0.66,Multi-Language,BELGIUM,ROYAL BELGIAN ZOOLOGICAL SOC,ROYAL BELGIAN ZOOLOGICAL SOCIETY,Minor,Royal Belgian Society of Zoology,Society,Minor_Society,1997,https://www.belgianjournalofzoology.eu/BJZ,,Publisher: Royal Belgian Institute of Natural Science (I believe); Journal assumed to be single blind,Tier 1,,JCR
Bioagro,"Journal publishes articles in more than one language (e.g., Spanish and English)","also publishes in Spanish; ""Articles written in English must show excellent use of the language. Bioagro will not process manuscripts with deficient English writing""",2,Journal doesn't mention language editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,South America,Venezuela,,,,,,,,,0.46,Low,0.38,0.2,Spanish,VENEZUELA,UNIV CENTROCCIDENTIAL LISANDRO ALVARADO,UNIV CENTROCCIDENTIAL LISANDRO ALVARADO,Minor,NA,Not_society,Minor_Not_society,2018,https://revistas.uclave.org/index.php/bioagro/index,,Publisher: Universidad Centroccidental Lisandro Alvarado,Tier 1,,JCR
Biochemical Systematics and Ecology,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services.""",5,Authors pay for editing,Yes,Yes,3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Single,No,Unclear,United Kingdom,,,,,,,,,1.381,Low,1.228,0.31,English,United Kingdom,PERGAMON-ELSEVIER SCIENCE LTD,ELSEVIER,Major,NA,Not_society,Major_Not_society,1997,https://www.journals.elsevier.com/biochemical-systematics-and-ecology,,,Tier 1,,"Original list (publisher, personal knowledge)"
Biocontrol,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Double_required,No,Unclear,France,,,,,,,,,3.571,Mid,3.293,1.43,Multi-Language,NETHERLANDS,SPRINGER,SPRINGER,Major,NA,Not_society,Major_Not_society,1999,https://www.springer.com/journal/10526,,,Tier 1,,"Original list (publisher, personal knowledge)"
Biodiversity and Conservation,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Unclear,United Kingdom,,,,,,,,,3.551,Mid,3.396,0.75,English,NETHERLANDS,SPRINGER,SPRINGER,Major,NA,Not_society,Major_Not_society,1997,https://www.springer.com/journal/10531,,,Tier 3,,"Original list (publisher, personal knowledge)"
BioEssays,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Get help if English is not your native language""",5,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Unclear,Germany,,,,,,,,,4.345,Mid,4.138,0.93,English,United States,WILEY,WILEY,Major,NA,Not_society,Major_Not_society,1997,https://onlinelibrary.wiley.com/journal/15211878,,,Tier 1,,"Original list (publisher, personal knowledge)"
Biogeosciences,Journal offers FREE English language editing services (most progressive policies),"""After typesetting and before we send your manuscript galley proof, we apply English language copy-editing. The following aims to provide guidelines for authors on how to compose their manuscript with regards to conventions of English. Please note that the copy editor is responsible for applying these guidelines in addition to checking the grammar and punctuation of each manuscript (see English copy-editing services for more information). However, assistance from the author will expedite the production process.""",3,Free editing services,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Other,Yes,Europe,Austria,Belgium,Germany,United States,Belgium,,,,,4.295,Mid,3.96,1.15,English,Germany,COPERNICUS GESELLSCHAFT MBH,COPERNICUS GESELLSCHAFT MBH,Minor,NA,Not_society,Minor_Not_society,2006,https://www.biogeosciences.net/,,"There are 5 co-Editors-in-Chief from Austria, Belgium, Germany, United States, and Belgium. ",Tier 1,,"Original list (publisher, personal knowledge)"
Bioinformatics,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""If English is not your first language, you may want to consult a list of optional services on the Language services page. Language editing does not guarantee that your manuscript will be accepted for publication.  Authors are liable for all costs associated with such services.""",5,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,No,Yes,No,No,Assumed_single,No,Unclear,Spain,Germany,,,,,,,,6.937,Mid,6.565,1.96,English,United Kingdom,OXFORD UNIV PRESS,OXFORD UNIVERSITY PRESS,Major,International Society for Computational Biology,Society,Major_Society,1998,https://academic.oup.com/bioinformatics,,,Tier 3,"sections on ""phylogenetics"" and ""genetics and population analysis"" that are evolution related","Original list (publisher, personal knowledge)"
Bioinformatics Advances,Offers editing but doesn't strongly suggest or recommend that people use it,"""If you are not confident in the quality of your English, you may wish to use a language-editing service to ensure that editors and reviewers understand your paper. Language editing is optional and does not guarantee that your manuscript will be accepted. Edited manuscripts will still undergo peer review by the journal.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Unclear,United Kingdom,Germany,,,,,,,,NA,NA,NA,NA,English,United States,OXFORD UNIV PRESS,OXFORD UNIVERSITY PRESS,Major,International Society for Computational Biology,Society,Major_Society,Not in JCR,https://academic.oup.com/bioinformaticsadvances,,The society is based in the United States; the journal started in 2021,Tier 1,The society is based in the United States,"Original list (publisher, personal knowledge)"
BIOLOGIA PLANTARUM,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Papers have to be written in English; non-native English speakers are obliged to have their texts checked by a native speaker. """,6,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,Yes,Europe,Czech Republic,,,,,,,,,1.747,Low,1.702,0.49,Multi-Language,CZECH REPUBLIC,"ACAD SCIENCES CZECH REPUBLIC, INST EXPERIMENTAL BOTANY","ACAD SCIENCES CZECH REPUBLIC, INST EXPERIMENTAL BOTANY",Minor,NA,Not_society,Minor_Not_society,1997,https://bp.ueb.cas.cz/,,"2019-Current Publisher: Institute of Experimental Botany, Czech Academy of Sciences; Start-2018 Publisher: Springer; Reviewer Guidelines are published by a Committee on Publication Ethics but not obviously affiliated with a publisher; Journal gives option to reviewers to identify themselves and publish reviews",Tier 1,,JCR
Biological Bulletin,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Northern America,United States,,,,,,,,,1.818,Low,1.74,0.51,English,United States,UNIV CHICAGO PRESS,UNIVERSITY OF CHICAGO PRESS,Minor,NA,Not_society,Minor_Not_society,2001,https://www.journals.uchicago.edu/journal/bbl,,Used to be published by UNIV CHICAGO PRESS until apparently 2000 (according to JCR); Published in association with the Marine Biological Laboratory,Tier 1,,"Original list (publisher, personal knowledge)"
Biological Conservation,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services.""",5,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Double_required,No,Unclear,France,,,,,,,,,5.991,Mid,5.551,1.39,English,United Kingdom,ELSEVIER SCI LTD,ELSEVIER,Major,NA,Not_society,Major_Not_society,1997,https://www.journals.elsevier.com/biological-conservation,,,Tier 1,,"Original list (publisher, personal knowledge)"
Biological Journal of the Linnean Society,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Language editing, particularly if English is not your first language, can be used to ensure that the academic content of your paper is fully understood by the journal editors and reviewers. Please note that edited manuscripts will still need to undergo peer-review by the journal.""",5,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,United Kingdom,,,,,,,,,2.138,Low,1.879,0.52,English,United Kingdom,OXFORD UNIV PRESS,OXFORD UNIVERSITY PRESS,Major,Linnean Society of London,Society,Major_Society,1997,https://academic.oup.com/biolinnean,,,Tier 1,,"Original list (publisher, personal knowledge)"
Biological Reviews,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Non - native English speakers are advised to ask an English- Speaking colleague to provide feedback, or to use a professional language- polishing or editing service.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Europe,United Kingdom,,,,,,,,,12.82,High,12.6,2.87,English,United Kingdom,WILEY,WILEY,Major,Cambridge Philosophical Society,Society,Major_Society,1997,https://onlinelibrary.wiley.com/journal/1469185x ,,,Tier 1,,"Original list (publisher, personal knowledge)"
Biology,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""If you are not a native English speaker, we recommend that you have your manuscript professionally edited before submission or read by a native English-speaking colleague. This can be carried out by MDPI's English editing service. Professional editing will enable reviewers and future readers to more easily read and assess the content of submitted manuscripts. All accepted manuscripts undergo language editing, however an additional fee will be charged to authors if very extensive English corrections must be made by the Editorial Office: pricing is according to the service here.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,Yes,Europe,Finland,Spain,,,,,,,,5.079,Mid,4.986,0.9,English,SWITZERLAND,MDPI,MDPI,Minor,NA,Not_society,Minor_Not_society,2019,https://www.mdpi.com/journal/biology,,"Under ""Biology-Basel"" in JCR",Tier 1,,"Original list (publisher, personal knowledge)"
BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,Ireland,,,,,,,,,1.087,Low,1,0.18,English,IRELAND,ROYAL IRISH ACAD,ROYAL IRISH ACADEMY,Minor,Royal Irish Academy,Society,Minor_Society,1997,https://www.ria.ie/biology-and-environment-instructions-authors,https://www.jstor.org/journal/biolenviprocria,,Tier 1,,JCR
Biology Letters,Offers editing but doesn't strongly suggest or recommend that people use it,"""Language editing services provide professional editing of manuscripts prior to submission. Authors are encouraged to use language editing services if needed, but the Royal Society does not take responsibility for or endorse these services, and their use has no bearing on acceptance of a manuscript for publication. The Royal Society has negotiated a discount with certain services for its authors - find out how to claim this here.""",4,Partial waivers available,Yes,Yes,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Single,No,Europe,United Kingdom,,,,,,,,,3.703,Mid,3.653,0.89,English,United Kingdom,ROYAL SOC,ROYAL SOCIETY PUBLISHING,Minor,The Royal Society,Society,Minor_Society,2005,https://royalsocietypublishing.org/journal/rsbl,,,Tier 1,,"Original list (publisher, personal knowledge)"
BioScience,No mention of language editing in author guidelines or doesn't have author guidelines,No mention of English requirement,1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,United States,,,,,,,,,8.589,Mid,8.305,2.33,English,United States,OXFORD UNIV PRESS,OXFORD UNIVERSITY PRESS,Major,NA,Not_society,Major_Not_society,1997,https://academic.oup.com/bioscience,,no information on reviewer process,Tier 2,"all biology, IF=8.6","Original list (publisher, personal knowledge)"
Biosystems,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services.""",5,Authors pay for editing,Yes,Yes,3,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Unclear,Canada,,,,,,,,,1.973,Low,1.686,0.52,English,IRELAND,ELSEVIER SCI LTD,ELSEVIER,Major,NA,Not_society,Major_Not_society,1997,https://www.journals.elsevier.com/biosystems,,,Tier 1,,"Original list (publisher, personal knowledge)"
Biotropica,No mention of language editing in author guidelines or doesn't have author guidelines,"""Publication must be in English, but a second abstract in other languages (such as Spanish, French, Portuguese, Hindi, Arabic, Chinese etc.) may be published as online Supporting Information.""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Northern America,United States,,,,,,,,,2.508,Low,2.271,0.62,English,United States,WILEY,WILEY,Major,NA,Not_society,Major_Not_society,1997,https://onlinelibrary.wiley.com/journal/17447429,,no information on reviewer process,Tier 1,,"Original list (publisher, personal knowledge)"
BLUMEA,No mention of language editing in author guidelines or doesn't have author guidelines,"""Use British English throughout""",1,Journal doesn't mention language editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Single,No,Europe,Netherlands,,,,,,,,,0.962,Low,0.887,0.34,English,NETHERLANDS,RIJKSHERBARIUM,NATIONAL HERBARIUM OF THE NETHERLANDS,Minor,NA,Not_society,Minor_Not_society,1997,https://www.naturalis.nl/en/science/blumea-journal,https://www.ingentaconnect.com/content/nhn/blumea,,Tier 1,,JCR
