Study,Study type,Author position,Demographic,Demographic category,Author country,Assessor,Reviewer country,Reviewer.demographic,Continent,Language,HDI,Reviewer ordinal scores,Min value,Max value,Reviewer_rescaled,Total manuscripts,Accept,Minor revision,Major revision,Reject with invitation to resubmit,Reject,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Opthof et al. (2002),Observational,Corresponding,Country,United States,Known,Reviewer,United States,Match,North America,English,0.89,41.93,0,100,0.4193,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,United States,Known,Reviewer,United States,Match,North America,English,0.89,41.93,0,100,0.4193,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,United States,Known,Reviewer,United States,Match,North America,English,0.89,41.93,0,100,0.4193,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,NA,Unknown,Reviewer,Not match,NA,NA,NA,NA,67.23,0,100,0.6723,7471,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,NA,Unknown,Reviewer,Not match,NA,NA,NA,NA,67.23,0,100,0.6723,7471,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,NA,Unknown,Reviewer,Not match,NA,NA,NA,NA,67.23,0,100,0.6723,7471,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Not France,Unknown,Reviewer,France,NA,Europe,Not English,0.851,72.23,0,100,0.7223,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Not France,Unknown,Reviewer,France,NA,Europe,Not English,0.851,72.23,0,100,0.7223,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Not France,Unknown,Reviewer,France,NA,Europe,Not English,0.851,72.23,0,100,0.7223,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Not Germany,Unknown,Reviewer,Germany,NA,Europe,Not English,0.868,63.43,0,100,0.6343,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Not Germany,Unknown,Reviewer,Germany,NA,Europe,Not English,0.868,63.43,0,100,0.6343,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Not Germany,Unknown,Reviewer,Germany,NA,Europe,Not English,0.868,63.43,0,100,0.6343,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Not Italy,Unknown,Reviewer,Italy,NA,Europe,Not English,0.832,67.03,0,100,0.6703,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Not Italy,Unknown,Reviewer,Italy,NA,Europe,Not English,0.832,67.03,0,100,0.6703,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Not Italy,Unknown,Reviewer,Italy,NA,Europe,Not English,0.832,67.03,0,100,0.6703,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Not Japan,Unknown,Reviewer,Japan,NA,Asia,Not English,0.852,75.93,0,100,0.7593,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Not Japan,Unknown,Reviewer,Japan,NA,Asia,Not English,0.852,75.93,0,100,0.7593,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Not Japan,Unknown,Reviewer,Japan,NA,Asia,Not English,0.852,75.93,0,100,0.7593,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,NA,Unknown,Reviewer,Match,NA,NA,NA,NA,44.23,0,100,0.4423,842,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,NA,Unknown,Reviewer,Match,NA,NA,NA,NA,44.23,0,100,0.4423,842,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,NA,Unknown,Reviewer,Match,NA,NA,NA,NA,44.23,0,100,0.4423,842,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Not France,Unknown,Reviewer,Not France,NA,Europe,Not English,0.851,64.83,0,100,0.6483,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Not France,Unknown,Reviewer,Not France,NA,Europe,Not English,0.851,64.83,0,100,0.6483,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Not France,Unknown,Reviewer,Not France,NA,Europe,Not English,0.851,64.83,0,100,0.6483,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Not Germany,Unknown,Reviewer,Not Germany,NA,Europe,Not English,0.868,65.43,0,100,0.6543,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Not Germany,Unknown,Reviewer,Not Germany,NA,Europe,Not English,0.868,65.43,0,100,0.6543,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Not Germany,Unknown,Reviewer,Not Germany,NA,Europe,Not English,0.868,65.43,0,100,0.6543,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Not Italy,Unknown,Reviewer,Not Italy,NA,Europe,Not English,0.832,64.03,0,100,0.6403,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Not Italy,Unknown,Reviewer,Not Italy,NA,Europe,Not English,0.832,64.03,0,100,0.6403,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Not Italy,Unknown,Reviewer,Not Italy,NA,Europe,Not English,0.832,64.03,0,100,0.6403,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Not Japan,Unknown,Reviewer,Not Japan,NA,Asia,Not English,0.852,63.93,0,100,0.6393,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Not Japan,Unknown,Reviewer,Not Japan,NA,Asia,Not English,0.852,63.93,0,100,0.6393,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Not Japan,Unknown,Reviewer,Not Japan,NA,Asia,Not English,0.852,63.93,0,100,0.6393,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Not United Kingdom,Unknown,Reviewer,Not United Kingdom,NA,Europe,English,0.868,64.03,0,100,0.6403,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,First,Country,Not United Kingdom,Unknown,Reviewer,Not United Kingdom,NA,Europe,English,0.868,64.03,0,100,0.6403,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Last,Country,Not United Kingdom,Unknown,Reviewer,Not United Kingdom,NA,Europe,English,0.868,64.03,0,100,0.6403,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
Opthof et al. (2002),Observational,Corresponding,Country,Not United States,Unknown,Reviewer,Not United States,NA,North America,English,0.89,71.43,0,100,0.7143,NA,NA,NA,NA,NA,NA,1999.5,Health sciences,Health sciences,3.4375,Reviewer scores,"Scores are averages of combined reviewer priority ratings. The study rescaled them to center at 100, so we converted them back to the original scale where 0 = lowest priority and 100 = highest priority then took the inverse to be consistent with other studies where smaller numbers = better. However, one France score was less than 0 and one Italy score was over 100, so we emailed the authors for clarification on 1/18/2022. The author clarified the approach on what the reviewer scores are, but we are not sure why the scores are slightly outside the interval. This study omitted all manuscripts with authors with an affiliation from more than one country. We repeated the rows for each position since it covers first/last/corresponding. The manuscript does present a ""nationality index"" that could potentially be used or replicated for analyses across studies. "
