Study,Study type,Author position,Demographic,Demographic category,Assessor,Reviewer demographic,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,233,296,44.04536862,2013,Life sciences,Life sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,194,164,54.18994413,2013,Life sciences,Life sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,230,211,52.15419501,2013,Life sciences,Life sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,157,125,55.67375887,2013,Life sciences,Life sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,23,25,47.91666667,2013,Life sciences,Life sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,15,2,88.23529412,2013,Life sciences,Life sciences,8,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,368,365,50.20463847,2013,Life sciences,Life sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,442,682,39.32384342,2013,Life sciences,Life sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,531,769,40.84615385,2013,Life sciences,Life sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,315,275,53.38983051,2013,Life sciences,Life sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,455,526,46.38124363,2013,Life sciences,Life sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,218,186,53.96039604,2013,Life sciences,Life sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,34,45,43.03797468,2013,Life sciences,Life sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,37,9,80.43478261,2013,Life sciences,Life sciences,8,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,221,260,45.94594595,2013,Health sciences,Health sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,1611,981,62.15277778,2013,Health sciences,Health sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,994,868,53.38345865,2013,Health sciences,Health sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,2203,1467,60.02724796,2013,Health sciences,Health sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,572,526,52.09471767,2013,Health sciences,Health sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,423,344,55.14993481,2013,Health sciences,Health sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,206,130,61.30952381,2013,Health sciences,Health sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,592,549,51.88431201,2013,Health sciences,Health sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,4535,2696,62.71608353,2013,Health sciences,Health sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,2649,2701,49.51401869,2013,Health sciences,Health sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,4565,3134,59.29341473,2013,Health sciences,Health sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,1485,1338,52.60361318,2013,Health sciences,Health sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,1188,1034,53.46534653,2013,Health sciences,Health sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,714,399,64.1509434,2013,Health sciences,Health sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,233,184,55.87529976,2013,Life sciences,Life sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,395,486,44.8354143,2013,Life sciences,Life sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,359,406,46.92810458,2013,Life sciences,Life sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,180,131,57.8778135,2013,Life sciences,Life sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,200,226,46.94835681,2013,Life sciences,Life sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,131,94,58.22222222,2013,Life sciences,Life sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,6,11,35.29411765,2013,Life sciences,Life sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,15,8,65.2173913,2013,Life sciences,Life sciences,8,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,744,653,53.25697924,2013,Life sciences,Life sciences,1,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,1048,1562,40.1532567,2013,Life sciences,Life sciences,2,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,1110,1239,47.2541507,2013,Life sciences,Life sciences,3,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,413,350,54.12844037,2013,Life sciences,Life sciences,4,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,538,624,46.29948365,2013,Life sciences,Life sciences,5,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,175,166,51.31964809,2013,Life sciences,Life sciences,6,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,28,32,46.66666667,2013,Life sciences,Life sciences,7,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,56,33,62.92134831,2013,Life sciences,Life sciences,8,Final decision,"This file only uses single-blind scores from this study. This study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers."
