Study,Study type,Author position,Demographic,Demographic category,Assessor,Reviewer demographic,Rejected,Went through to next stage,% rejected,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,390,563,40.92339979,2013,Health sciences,Health sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,137,236,36.72922252,2013,Health sciences,Health sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,47,78,37.6,2013,Health sciences,Health sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,321,619,34.14893617,2013,Health sciences,Health sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,1667,1706,49.42187963,2013,Health sciences,Health sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,1097,1756,38.45075359,2013,Health sciences,Health sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,2494,2790,47.1990916,2013,Health sciences,Health sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,758,980,43.61334868,2013,Health sciences,Health sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,324,523,38.25265643,2013,Health sciences,Health sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,135,220,38.02816901,2013,Health sciences,Health sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,89,158,36.03238866,2013,Life sciences,Life sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,127,362,25.97137014,2013,Life sciences,Life sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,164,365,31.00189036,2013,Life sciences,Life sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,131,227,36.59217877,2013,Life sciences,Life sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,160,281,36.28117914,2013,Life sciences,Life sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,132,150,46.80851064,2013,Life sciences,Life sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,19,29,39.58333333,2013,Life sciences,Life sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,10,7,58.82352941,2013,Life sciences,Life sciences,8,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,236,497,32.19645293,2013,Life sciences,Life sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,292,832,25.97864769,2013,Life sciences,Life sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,344,956,26.46153846,2013,Life sciences,Life sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,206,384,34.91525424,2013,Life sciences,Life sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,294,687,29.96941896,2013,Life sciences,Life sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,186,218,46.03960396,2013,Life sciences,Life sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,30,49,37.97468354,2013,Life sciences,Life sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,1+ Female,25,21,54.34782609,2013,Life sciences,Life sciences,8,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,174,307,36.17463617,2013,Health sciences,Health sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,1408,1184,54.32098765,2013,Health sciences,Health sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,775,1087,41.62191192,2013,Health sciences,Health sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,1954,1716,53.24250681,2013,Health sciences,Health sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,455,643,41.43897996,2013,Health sciences,Health sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,288,479,37.54889179,2013,Health sciences,Health sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,132,204,39.28571429,2013,Health sciences,Health sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,467,674,40.92900964,2013,Health sciences,Health sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,3887,3344,53.7546674,2013,Health sciences,Health sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,2079,3271,38.85981308,2013,Health sciences,Health sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,4036,3663,52.42239252,2013,Health sciences,Health sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,1224,1599,43.35812965,2013,Health sciences,Health sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,854,1368,38.43384338,2013,Health sciences,Health sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,482,631,43.30637916,2013,Health sciences,Health sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,181,236,43.40527578,2013,Life sciences,Life sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,289,592,32.80363224,2013,Life sciences,Life sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,249,516,32.54901961,2013,Life sciences,Life sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,137,174,44.05144695,2013,Life sciences,Life sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,148,278,34.74178404,2013,Life sciences,Life sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,98,127,43.55555556,2013,Life sciences,Life sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,5,12,29.41176471,2013,Life sciences,Life sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,All Male,10,13,43.47826087,2013,Life sciences,Life sciences,8,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,561,836,40.15748031,2013,Life sciences,Life sciences,1,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,710,1900,27.20306513,2013,Life sciences,Life sciences,2,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,756,1593,32.18390805,2013,Life sciences,Life sciences,3,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,272,491,35.64875491,2013,Life sciences,Life sciences,4,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,374,788,32.1858864,2013,Life sciences,Life sciences,5,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,136,205,39.88269795,2013,Life sciences,Life sciences,6,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,21,39,35,2013,Life sciences,Life sciences,7,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Male,Reviewer,All Male,34,55,38.20224719,2013,Life sciences,Life sciences,8,Post-initial review,"This row corresponds to data from single-blind journals only. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
