Study,Study type,Author position,Demographic,Demographic category,Assessor,Reviewer demographic,Reviewer ordinal scores,Min value,Max value,Reviewer_rescaled,Total manuscripts,Accept,Minor revision,Major revision,Reject with invitation to resubmit,Reject,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.661932825,0,1,0.661932825,57,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,1+ Female,0.763102015,0,1,0.763102015,31,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,8,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.61268906,0,1,0.61268906,759,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.684718012,0,1,0.684718012,2926,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.653445044,0,1,0.653445044,2275,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.64762144,0,1,0.64762144,4390,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.624932893,0,1,0.624932893,1498,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.6343121,0,1,0.6343121,776,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.619039278,0,1,0.619039278,396,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.602418625,0,1,0.602418625,691,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.58520621,0,1,0.58520621,1014,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.608151362,0,1,0.608151362,1088,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.624470469,0,1,0.624470469,493,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.600400905,0,1,0.600400905,729,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.643396346,0,1,0.643396346,326,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.643728012,0,1,0.643728012,61,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,1+ Female,0.720692663,0,1,0.720692663,38,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,8,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.623578791,0,1,0.623578791,690,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.679086968,0,1,0.679086968,3556,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.656651236,0,1,0.656651236,2715,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.682273419,0,1,0.682273419,4767,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.622984108,0,1,0.622984108,1443,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.65178549,0,1,0.65178549,931,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.672919434,0,1,0.672919434,381,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.643992224,0,1,0.643992224,617,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.612439847,0,1,0.612439847,1249,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.626764114,0,1,0.626764114,1123,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.659040005,0,1,0.659040005,446,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.613064364,0,1,0.613064364,709,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.673054913,0,1,0.673054913,292,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.709503621,0,1,0.709503621,37,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Z_Female,Reviewer,All Male,0.621215794,0,1,0.621215794,52,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,8,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.651247398,0,1,0.651247398,964,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.705562988,0,1,0.705562988,6518,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.640569842,0,1,0.640569842,4693,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.668813188,0,1,0.668813188,6961,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.634752197,0,1,0.634752197,2536,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.644901652,0,1,0.644901652,2094,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.665388807,0,1,0.665388807,1141,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.6461241,0,1,0.6461241,1330,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.602219897,0,1,0.602219897,2407,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.62470777,0,1,0.62470777,2097,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.645950911,0,1,0.645950911,640,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.581537259,0,1,0.581537259,950,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.577824554,0,1,0.577824554,286,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.635715397,0,1,0.635715397,42,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,First,Gender_2,Male,Reviewer,All Male,0.635970209,0,1,0.635970209,69,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,8,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.600285646,0,1,0.600285646,512,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.677059505,0,1,0.677059505,1745,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.641423293,0,1,0.641423293,1376,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.647988256,0,1,0.647988256,4050,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.613109278,0,1,0.613109278,953,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.612497583,0,1,0.612497583,373,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.61102375,0,1,0.61102375,125,NA,NA,NA,NA,NA,2013,Health sciences,Health sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.605841795,0,1,0.605841795,247,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.592578606,0,1,0.592578606,489,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.605688471,0,1,0.605688471,529,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.650661916,0,1,0.650661916,358,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.648936082,0,1,0.648936082,441,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.684623806,0,1,0.684623806,282,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
Squazzoni et al. (2021),Observational,Last,Gender_2,Z_Female,Reviewer,1+ Female,0.682085115,0,1,0.682085115,48,NA,NA,NA,NA,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. This row only uses single-blind journal scores from this study. The study only gives the total number of reviewers they assigned to male/female, so we excluded the manuscripts for which they assigned 0 reviewers. "
